title,description,pursuing,stream
Robotics and Automation , Covers robot kinematics  control systems  and sensors. ,graduation ,cse it
Bioinformatics , Combines computer science with biological data analysis. ,graduation ,cse it
Distributed Systems , Deals with managing components dispersed across networks. ,graduation ,cse it
Electronic Devices and Circuits (EDC) , Focuses on the operation  characteristics  and application of electronic components like diodes  transistors  and rectifiers. ,graduation ,ece
Analog Electronics / Analog Electronic Circuits , Deals with the design and analysis of circuits using analog components  including amplifiers and oscillators. ,graduation  ,ece
Digital Electronics / Digital Logic Design , Covers the fundamentals of digital circuits  including logic gates  combinational and sequential circuits  flip flops  and registers. ,graduation ,ece
Signals and Systems , Studies the representation  analysis  and processing of signals in both time and frequency domains  utilizing tools like Fourier and Laplace transforms. ,graduation ,ece
Electromagnetic Theory / Electromagnetic Fields & Waves , Explores the principles of electromagnetism  including Maxwell's equations  transmission lines  and antennas  essential for wireless communication. ,graduation ,ece
Communication Systems (Analog and Digital) , Covers the principles of transmitting and receiving information  including modulation and demodulation techniques. ,graduation ,ece
Microprocessors and Microcontrollers , Focuses on the architecture  programming  and interfacing of microprocessors (like the 8086) and microcontrollers (like the 8051)  crucial for embedded systems. ,graduation ,ece
Network Analysis / Circuit Theory , Covers basic circuit analysis techniques like Ohm's Law  Kirchhoff's Laws  and network theorems (Thevenin's  Norton's). ,graduation ,ece
Digital Signal Processing (DSP) , Deals with the processing of digital signals  including sampling  quantization  digital filters  and Fourier transforms.  ,graduation ,ece
VLSI Design , Focuses on the design and testing of very large scale integrated circuits (VLSI)  including CMOS technology and hardware description languages (HDLs) like Verilog and VHDL. ,graduation ,ece
Embedded Systems , Deals with designing and implementing specialized computer systems embedded within larger devices  often using microcontrollers. ,graduation ,ece
Wireless Communication , Explores various wireless communication technologies  including cellular systems (like 4G and 5G)  mobile communication  and satellite communication. ,graduation ,ece
Control Systems , Focuses on designing and analyzing systems to regulate and stabilize dynamic processes  utilizing concepts like feedback control and transfer functions. ,graduation ,ece
Antennas and Wave Propagation , Studies the design and characteristics of antennas and how electromagnetic waves propagate through space. ,graduation ,ece
Optical Communication , Deals with the transmission of data using optical fibers  covering fiber materials  sources  detectors  and system design. ,graduation ,ece
Microwave Engineering , Covers the generation  transmission  and measurement of microwave signals  including components like RF and microwaves  and applications like Radar systems. ,graduation ,ece
Image Processing and Computer Vision , Focuses on analyzing and interpreting visual information from images and videos. ,graduation ,ece
Computer Networks , Focuses on the design  implementation  and management of networked systems  including network protocols  routing algorithms  and network security. ,graduation ,ece
Power Electronics , Deals with the application of electronics to control and convert electrical power efficiently  including power semiconductor devices  rectifiers  and inverters. ,graduation ,ece
Nanoelectronics , Explores electronic devices and systems at the nanoscale. ,graduation ,ece
Robotics and Automation , Focuses on designing  building  and programming robots  integrating mechanics  electronics  and control systems. ,graduation ,ece
Electrical Circuit Analysis / Network Theory , Deals with fundamental electrical laws like Ohm's Law and Kirchhoff's Laws and network theorems to analyze the behavior of electrical circuits. ,graduation ,eee
Electrical Machines (DC and AC) , Covers the principles  construction  operation  and control of various electrical machines  including DC machines  transformers  and AC machines (induction motors  synchronous machines). ,graduation ,eee
Power Systems , Focuses on the generation  transmission  and distribution of electrical power  including power plant concepts  transmission lines  and substations. ,graduation ,eee
Control Systems , Deals with designing and analyzing systems that regulate and automate processes  using feedback mechanisms to achieve desired outputs. ,graduation ,eee
Power Electronics , Explores the application of solid state electronics to control and convert electrical power  using devices like diodes  transistors  and thyristors. ,graduation ,eee
Electrical Measurements & Instrumentation , Covers methods and instruments used to measure electrical quantities like voltage  current  power  and energy  including sensors and transducers. ,graduation ,eee
Digital Electronics / Digital Logic Design , Introduces digital logic circuits  including logic gates  combinational and sequential circuits  and the design of digital systems. ,graduation ,eee
Analog Electronics / Analog Electronic Circuits , Focuses on the design and analysis of circuits using analog components  including amplifiers and operational amplifiers. ,graduation ,eee
Electromagnetic Field Theory (EMFT) , Studies the fundamental principles of electromagnetism and their application in electrical engineering. ,graduation ,eee
Microprocessors and Microcontrollers , Covers the architecture  programming  and applications of microprocessors (e.g.  8085  8086) and microcontrollers (e.g.  8051). ,graduation ,eee
Signals and Systems , Studies the representation  analysis  and processing of signals and the characteristics of systems that process these signals. ,graduation ,eee
Power System Analysis and Control , Focuses on advanced analysis techniques for power systems and methods for their optimal operation and control. ,graduation ,eee
High Voltage Engineering , Deals with the generation  measurement  and control of high voltages  and the study of insulation breakdown phenomena. ,graduation ,eee
Renewable Energy Sources , Covers the principles  technologies  and applications of renewable energy systems like solar  wind  and hydropower. ,graduation ,eee
Electric Drives , Focuses on the control of electric motors for various industrial applications. ,graduation ,eee
Digital Signal Processing (DSP) , Deals with the processing of digital signals  including filtering  spectral analysis  and modulation techniques. ,graduation ,eee
VLSI Design , Covers the design and fabrication of very large scale integrated circuits  including using hardware description languages like Verilog/VHDL. ,graduation ,eee
Control Systems Design , Focuses on advanced techniques for designing robust and efficient control systems. ,graduation ,eee
Smart Grid Technology , Explores modernizing power grids using digital technology for enhanced efficiency  reliability  and sustainability. ,graduation ,eee
Embedded Systems , Involves designing and programming microcontrollers for specific applications within larger systems. ,graduation ,eee
Instrumentation Engineering , Focuses on the design and application of instruments for measurement and control in industrial processes. ,graduation ,eee
Electric Vehicles Technologies , Examines the technologies and systems involved in the design and operation of electric vehicles. ,graduation ,eee
Communication Engineering , Covers various communication systems  including analog and digital communication  wireless communication  and networking concepts. ,graduation ,eee
Engineering Mechanics , Studies forces  equilibrium  motion  kinematics  and kinetics of particles and rigid bodies. ,graduation ,mech
Mechanics of Materials / Strength of Materials , Analyzes the behavior of materials under stress and strain. ,graduation ,mech
Fluid Mechanics , Explores fluid properties  fluid statics  and fluid dynamics. ,graduation ,mech
Thermodynamics , Studies the relationship between heat  work  and energy conversion. ,graduation ,mech
Heat Transfer , Covers conduction  convection  radiation  and heat exchangers. ,graduation ,mech
Machine Design , Focuses on designing machine elements like shafts  bearings  and gears. ,graduation ,mech
Manufacturing Processes , Deals with various methods of creating products  including casting  machining  and welding. ,graduation ,mech
Theory of Machines / Kinematics and Dynamics of Machines , Studies the motion and forces within mechanisms and machine elements. ,graduation ,mech
Control Systems , Focuses on designing and analyzing systems to regulate and automate mechanical processes. ,graduation ,mech
Mechanical Measurements and Instrumentation , Covers techniques and equipment for measuring physical quantities in mechanical systems ,graduation ,mech
Computational Fluid Dynamics (CFD) , Applies numerical methods to solve fluid flow problems. ,graduation ,mech
Finite Element Analysis (FEA) , Utilizes numerical methods for stress and structural analysis. ,graduation ,mech
Robotics and Automation , Covers robot kinematics  control  and automated systems. ,graduation ,mech
Automotive Engineering , Focuses on the design  analysis  and manufacturing of automobiles. ,graduation ,mech
Mechatronics , Integrates mechanical systems with electronics and control. ,graduation ,mech
Renewable Energy Systems , Explores sustainable energy solutions like solar and wind power. ,graduation ,mech
Advanced Materials and Composites , Investigates the properties and applications of modern materials. ,graduation ,mech
Industrial Engineering and Operations Research , Optimizes production processes and systems.  ,graduation ,mech
Food Chemistry and Biochemistry , Studies the chemical composition of food components (carbohydrates  proteins  fats  vitamins) and their interactions and changes during processing and storage. ,graduation ,food
Food Microbiology , Examines the role of microorganisms (bacteria  molds  yeasts) in food spoilage  fermentation  and foodborne diseases  along with methods for their detection and control. ,graduation ,food
Food Processing and Preservation , Focuses on techniques used to extend the shelf life of food  such as canning  freezing  dehydration  fermentation  pasteurization  and packaging. ,graduation ,food
Unit Operations in Food Processing , Deals with the principles and applications of various physical operations involved in food processing  like heat transfer  mass transfer  fluid flow  filtration  drying  and refrigeration. ,graduation ,food
Food Engineering , Applies engineering principles to design  analyze  and optimize food processing equipment and systems. ,graduation ,food
Food Quality Control and Assurance , Covers methods for assessing and maintaining the quality and safety of food products  including analytical techniques  food standards  and quality management systems (e.g.  HACCP  ISO 9001  ISO 22000). ,graduation ,food
Food Packaging Technology , Studies the materials  methods  and science behind packaging to protect food quality and ensure safety during storage and distribution. ,graduation ,food
Principles of Food Science , Provides an overview of the fundamental scientific principles underlying food properties  composition  and behavior. ,graduation ,food
Food and Nutrition , Focuses on the nutritional value of different foods  dietary requirements  and the impact of processing on nutrient content. ,graduation ,food
Dairy Technology , Deals with the processing  preservation  and quality control of milk and dairy products. ,graduation ,food
Cereals  Pulses  and Oilseeds Technology , Focuses on the processing of staple crops like wheat milling  baking technology  and oil extraction. ,graduation ,food
Fruits and Vegetables Processing Technology , Covers post harvest handling  preservation  and processing of fruits and vegetables. ,graduation ,food
Meat  Fish  and Poultry Technology , Studies the processing  preservation  and quality control of animal products. ,graduation ,food
Bakery and Confectionery Technology , Focuses on the science and technology of baking  confectionery  and chocolate production. ,graduation ,food
Beverage Technology , Deals with the processing of alcoholic and non alcoholic beverages. ,graduation ,food
Food Biotechnology , Explores the application of biotechnological tools for improving food processing  quality  and nutrient content. ,graduation ,food
Functional Foods and Nutraceuticals , Focuses on foods that provide health benefits beyond basic nutrition. ,graduation ,food
Food Product Development , Involves the systematic process of creating new food products from concept to market. ,graduation ,food
Food Laws and Regulations , Covers the legal framework governing food safety  quality  and labeling standards. ,graduation ,food
Food Plant Layout and Design , Deals with the efficient planning and design of food processing plants. ,graduation ,food
Food Sensory Science , Focuses on evaluating food quality based on sensory attributes like taste  smell  and texture. ,graduation ,food
Strength of Materials / Mechanics of Solids , Analyzing material behavior under stress and strain. ,graduation ,civil
Fluid Mechanics , Understanding fluid properties and dynamics. ,graduation ,civil
Surveying and Geomatics , Measuring and mapping the earth's surface using various techniques. ,graduation ,civil
Building Materials , Studying the properties and selection of construction materials. ,graduation ,civil
Structural Analysis , Analyzing forces and deformations in structures. ,graduation ,civil
Design of Reinforced Concrete Structures (RCC) and Steel Structures , Designing structures using concrete and steel. ,graduation ,civil
Geotechnical Engineering (Soil Mechanics) , Studying soil and rock behavior for foundation design. ,graduation ,civil
Hydraulics  Hydrology  and Water Resources Engineering , Dealing with fluid behavior  water management  and related systems. ,graduation ,civil
Environmental Engineering , Addressing environmental protection through pollution control and waste management. ,graduation ,civil
Transportation Engineering , Planning  designing  and maintaining transportation systems. ,graduation ,civil
Construction Planning and Management , Covering project planning  scheduling  and resource allocation. ,graduation ,civil
Estimation  Costing and Valuation , Calculating project costs and property values. ,graduation ,civil
Building Planning and Drawing , Focusing on architectural planning and preparing construction drawings.  ,graduation ,civil
Earthquake Engineering , Designing structures to resist seismic forces. ,graduation ,civil
Bridge Engineering , Designing and constructing bridges. ,graduation ,civil
Advanced Concrete Technology , Exploring specialized concrete applications. ,graduation ,civil
Ground Improvement Techniques , Methods for improving soil properties. ,graduation ,civil
Pavement Design and Engineering , Designing road and highway pavements. ,graduation ,civil
Urban Transportation Planning , Planning urban transport systems. ,graduation ,civil
Sustainable Construction and Green Buildings , Environmentally friendly building practices. ,graduation ,civil
Computer ,Aided Design and Drafting (CADD)  Using software for advanced design. ,graduation ,civil
Disaster Preparedness and Management , Planning for natural disaster mitigation. ,graduation ,civil
Biochemistry , Studies the chemical processes and substances within living organisms  including the structure and function of biomolecules like proteins  carbohydrates  lipids  and nucleic acids. ,graduation ,biotech
Microbiology , Examines microorganisms (bacteria  viruses  fungi) and their role in various processes like fermentation  disease  and industrial applications.,graduation ,biotech
Cell Biology , Focuses on the structure  function  and behavior of cells  which are the basic units of life.,graduation ,biotech
Molecular Biology , Explores the molecular mechanisms of biological processes  particularly the structure and function of DNA  RNA  and proteins  and their interactions within cells.,graduation ,biotech
Genetics , Studies heredity  genes  and the variation of inherited characteristics in living organisms.,graduation ,biotech
Immunology , Covers the immune system  its components  and its role in protecting the body against diseases  including antibody production and immune responses.,graduation ,biotech
Bioinformatics and Biostatistics , Combines computer science and statistics for the analysis and interpretation of biological data  including genomic and proteomic data.,graduation ,biotech
Recombinant DNA Technology / Genetic Engineering , Focuses on modifying the genetic material of organisms to introduce new traits or produce specific proteins.,graduation ,biotech
Enzyme Technology , Deals with the properties  production  and industrial applications of enzymes as biocatalysts.,graduation ,biotech
Bioprocess Engineering , Applies engineering principles to design  analyze  and optimize biological processes for industrial production.,graduation ,biotech
Downstream Processing , Focuses on the purification and recovery of bioproducts from fermentation broths or cell cultures.,graduation ,biotech
Analytical Techniques in Biotechnology / Instrumentation in Biotechnology , Covers various laboratory techniques and instruments used for analysis and measurement in biotechnology.,graduation ,biotech
Plant Biotechnology , Focuses on techniques like plant tissue culture and genetic engineering for crop improvement and agricultural applications.,graduation ,biotech
Animal Biotechnology , Deals with genetic manipulation  cell culture  and reproduction technologies in animals.,graduation ,biotech
Medical Biotechnology / Pharmaceutical Biotechnology , Explores the development of diagnostics  drugs  vaccines  and therapies using biotechnological approaches.,graduation ,biotech
Environmental Biotechnology , Applies biotechnological tools for environmental protection  waste treatment  bioremediation  and sustainability.,graduation ,biotech
Industrial Biotechnology / Fermentation Technology , Focuses on the use of microorganisms and enzymes in industrial processes to produce biofuels  enzymes  and other biochemicals.,graduation ,biotech
Nanobiotechnology , Explores the application of nanotechnology in biological systems for drug delivery  diagnostics  and biomaterials.,graduation ,biotech
Bioethics and Biosafety , Addresses ethical considerations  safety guidelines  and regulatory frameworks surrounding biotechnology research and applications.,graduation ,biotech
Genomics and Proteomics , Studies the entire set of genes (genome) and proteins (proteome) of an organism.,graduation ,biotech
Tissue Engineering , Focuses on creating functional tissues and organs using biological and engineering principles.,graduation ,biotech
Biofuel Technology and Engineering , Deals with the production of biofuels from biomass.,graduation ,biotech
Computational Biology , Uses computational methods to solve biological problems.,graduation ,biotech
Aerodynamics , Studies the flow of air around aircraft  including lift  drag  and stability  with topics like compressible and incompressible flows  as well as boundary layers. ,graduation ,aeronautics
Aircraft Structures , Focuses on the structural elements and analysis of aircraft to ensure safety and structural integrity. ,graduation ,aeronautics
Propulsion Systems , Deals with aircraft engines (e.g.  gas turbines  jet engines  rocket propulsion) and their performance. ,graduation ,aeronautics
Flight Mechanics / Flight Dynamics , Analyzes aircraft performance in different flight conditions  including stability and control. ,graduation ,aeronautics
Aircraft Materials , Examines the materials used in aircraft construction  such as alloys and composites  and their properties. ,graduation ,aeronautics
Avionics and Aircraft Instrumentation , Covers the electronic systems within an aircraft  including navigation  communication  and control systems. ,graduation ,aeronautics
Aircraft Design , Applies the knowledge from other subjects to the complete design process of aircraft. ,graduation ,aeronautics
Thermodynamics , Principles of heat  work  and energy conversion relevant to propulsion systems. ,graduation ,aeronautics
Fluid Mechanics , Underlying principles of fluid behavior  essential for aerodynamics. ,graduation ,aeronautics
Control Systems , Designs and analyzes systems to regulate and automate aircraft processes. ,graduation ,aeronautics
Computational Fluid Dynamics (CFD) , Uses numerical methods to simulate fluid flow. ,graduation ,aeronautics
Finite Element Analysis (FEA) , Applies numerical methods for structural analysis. ,graduation ,aeronautics
Aeroelasticity and Vibrations , Studies the interaction of aerodynamic  elastic  and inertial forces. ,graduation ,aeronautics
Rockets and Missiles / Space Propulsion , Focuses on rocket propulsion systems. ,graduation ,aeronautics
Aircraft Maintenance and Repair , Covers maintenance practices  inspection  and repair. ,graduation ,aeronautics
Aviation Regulations and Safety Management , Addresses aviation laws  standards  and safety procedures. ,graduation ,aeronautics
Composite Materials and Structures , Investigates advanced composite materials used in aircraft construction. ,graduation ,aeronautics
Advanced Propulsion Systems , Explores innovative propulsion technologies. ,graduation ,aeronautics
Aerodynamics , Studies the interaction of air with moving bodies  including lift  drag  and airflow dynamics. ,graduation ,dynamics
Propulsion Systems , Focuses on the science and technology behind jet engines  rocket engines  and other propulsion systems. ,graduation ,dynamics
Aerospace Structures , Deals with the design  analysis  and construction of aircraft and spacecraft structures  considering loads and stresses. ,graduation ,dynamics
Flight Mechanics / Flight Dynamics , Analyzes the performance  stability  and control of aircraft in flight. ,graduation ,dynamics
Spaceflight Mechanics / Orbital Mechanics , Studies the motion of spacecraft  including orbits  trajectories  and attitude control. ,graduation ,dynamics
Avionics and Navigation Systems , Covers the electronic systems within aerospace vehicles for navigation  communication  and control. ,graduation ,dynamics
Control Systems , Focuses on designing systems to regulate and automate aerospace processes. ,graduation ,dynamics
Aircraft Design / Aerospace Vehicle Design , Integrates various disciplines to design complete aircraft and spacecraft. ,graduation ,dynamics
Manufacturing Technology , Studies the processes used to manufacture aerospace components. ,graduation ,dynamics
Thermodynamics , Principles of energy transfer and heat conversion applied to engines and other systems. ,graduation ,dynamics
Fluid Mechanics , Essential for understanding fluid behavior  particularly for aerodynamics and propulsion. ,graduation ,dynamics
Strength of Materials / Mechanics of Solids , Analyzes how materials deform under stress and strain. ,graduation ,dynamics
Computational Fluid Dynamics (CFD) , Uses numerical methods to simulate fluid flow around aerospace vehicles. ,graduation ,dynamics
Finite Element Analysis (FEA) , Applies numerical methods for structural analysis and design. ,graduation ,dynamics
Aeroelasticity and Vibrations , Studies the interaction of aerodynamic forces and structural dynamics  particularly in the context of aircraft and spacecraft. ,graduation ,dynamics
Rocket Propulsion / Advanced Propulsion Systems , Focuses on rocket engines and advanced propulsion concepts. ,graduation ,dynamics
Spacecraft Systems Engineering , Deals with the design  integration  and management of spacecraft systems. ,graduation ,dynamics
Satellite Technology , Explores the design  operation  and applications of satellites. ,graduation ,dynamics
Unmanned Aerial Vehicles (UAVs) , Covers the design  operation  and applications of drones. ,graduation ,dynamics
High Speed Aerodynamics / Hypersonic Aerodynamics , Focuses on the aerodynamics of aircraft traveling at very high speeds. ,graduation ,dynamics
Aircraft Maintenance and Repair , Covers the practices and procedures for aircraft upkeep. ,graduation ,dynamics
Aviation Regulations and Safety Management , Addresses the rules  standards  and safety protocols in aviation ,graduation ,dynamics
Anatomy , The study of the structure of the human body  including gross anatomy  microanatomy (histology)  embryology  genetics  and neuroanatomy. ,graduation ,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Physiology , Focuses on the functions and mechanisms of the human body systems  including cardiovascular  respiratory  gastrointestinal  and renal systems  as well as general physiology  nerve muscle physiology  and blood physiology. ,graduation ,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Biochemistry , Examines the chemical processes within living organisms  covering topics like molecular biology  biological cells  hormones  metabolic pathways  enzymes  biomolecules  and nutrition. ,graduation ,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Pathology , The study of disease mechanisms and diagnosis  including systemic and general pathology. ,graduation ,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Pharmacology , Focuses on the knowledge of drugs  their effects on the body  and their therapeutic uses. ,graduation ,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Microbiology , The study of microorganisms (bacteria  viruses  fungi  parasites) and their role in causing disease. ,graduation ,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Forensic Medicine and Toxicology , Applies medical knowledge to legal issues  including autopsy procedures  forensic pathology  and toxicology. ,graduation ,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Community Medicine , Covers public health  epidemiology  preventive medicine  and biostatistics. Students also begin clinical postings in wards during this phase. ,graduation ,Bachelor of Medicine and Bachelor of Surgery (MBBS)
General Medicine , Diagnosis and treatment of various medical conditions. ,graduation ,Bachelor of Medicine and Bachelor of Surgery (MBBS)
General Surgery , Surgical procedures and patient management. ,graduation ,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Pediatrics , Medical care of infants  children  and adolescents. ,graduation ,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Obstetrics and Gynaecology , Focuses on women's reproductive health  pregnancy  and childbirth. ,graduation ,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Ophthalmology , Study of eye diseases and vision disorders. ,graduation ,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Otorhinolaryngology (ENT) , Disorders of the ear  nose  and throat. ,graduation ,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Orthopaedics , Study of musculoskeletal system disorders  including bones and joints. ,graduation ,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Dermatology and Venereology , Deals with skin diseases and sexually transmitted infections. ,graduation ,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Psychiatry , Diagnosis  prevention  and treatment of mental disorders. ,graduation ,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Anesthesiology , Focuses on pain management and anesthesia for surgeries. ,graduation ,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Radiology , Involves medical imaging to diagnose and treat diseases. ,graduation ,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Clinical Postings , Practical exposure and rotations in various departments  including Medicine  Surgery  OBG  Pediatrics  and Emergency Medicine. ,graduation ,Bachelor of Medicine and Bachelor of Surgery (MBBS)
